hours,siteId,sum
0,50011310000099,2995
0,50010610009083,1210
0,50010510000124,346
0,50010910000062,296
0,50011710000039,268
0,50010510000165,265
0,50010910000192,261
0,50010610009071,231
0,50010510000178,213
0,50011210000297,213
0,50022910001008,207
0,50010410000040,200
0,50010310000025,194
0,50011310000118,193
0,50011710000153,191
0,50010510000015,190
0,50010710000348,188
0,50010810000160,184
0,50010910000189,182
0,50010710000289,179
0,50010610009086,176
0,50010610002009,173
0,50010710001088,173
0,50015310000022,167
0,50010510000145,167
0,50010810000123,167
0,50010210000062,158
0,50010610002012,156
0,50010810000145,156
0,50010610009051,156
0,50010510000029,156
0,50010710000013,155
0,50010510000069,154
0,50010510000095,154
0,50010810000118,152
0,50010610002077,152
0,50010510000070,152
0,50010310000038,151
0,50010910000176,151
0,50010310000007,151
0,50010610002018,148
0,50010610002038,146
0,50010610002067,145
0,50011810000095,145
0,50010510000190,144
0,50010610002035,144
0,50010710001009,144
0,50015310000065,143
0,50010310000297,142
0,50011710000064,140
0,50011710000136,140
0,50015310000027,139
0,50010610009033,138
0,50010610009070,137
0,50015310000028,136
0,50010510000078,136
0,50010310000121,136
0,50010710000231,135
0,50011710000148,135
0,50010810000071,135
0,50015310000077,132
0,50010310000237,132
0,50010610009090,132
0,50010910000193,131
0,50011210000157,131
0,50011210000249,131
0,50010110000224,131
0,50010610002020,130
0,50010610009089,129
0,50015310000031,128
0,50010710000066,128
0,50015310000035,127
0,50010710000060,127
0,50010710000191,127
0,50011810000117,127
0,50011210000028,125
0,50011610000020,125
0,50010310000220,125
0,50010610002072,124
0,50010310000198,124
0,50010310000009,124
0,50010810000080,124
0,50011810000005,123
0,50010510000179,123
0,50015310000071,123
0,50010310000072,122
0,50010510000136,122
0,50010310000114,121
0,50010710000311,121
0,50011210000093,121
0,50010610009066,120
0,50010510000180,119
0,50010610006004,118
0,50011210000271,118
0,50010210000031,117
0,50010310000235,116
0,50010610002015,116
0,50010710000297,115
0,50015310000032,115
0,50011210000151,113
0,50010310000140,112
0,50010510000090,111
0,50010610009037,111
0,50010710000308,111
0,50010610005012,111
0,50010510000137,110
0,50011810000176,110
0,50010810000179,110
