hours,siteId,sum
0,50022610000016,134
0,50022610000048,98
0,50011310000099,90
0,50010610009083,85
0,50022610000066,83
0,50010910000062,75
0,50023710000053,71
0,50022610000084,70
0,50023210000015,65
0,50023710000067,62
0,50023710000066,59
0,50010210000059,58
0,50010510000124,52
0,50010910000189,49
0,50023410000102,48
0,50022910001008,47
0,50022610000053,47
0,50010110000224,45
0,50010110000016,44
0,50022610000055,43
0,50022610000032,43
0,50010210000041,43
0,50011710000153,42
0,50010110000239,42
0,50023210000013,40
0,50023310000005,40
0,50023710000044,40
0,50023110000059,39
0,50010710000348,38
0,50010210000031,37
0,50011810000117,37
0,50022610000040,37
0,50023410000054,37
0,50023310000019,37
0,50023310000008,35
0,50022610000068,35
0,50011710000115,35
0,50022610000046,34
0,50023610000062,34
0,50015310000077,34
0,50023410000035,33
0,50022310000032,33
0,50011310000057,33
0,50011810000125,33
0,50024210000083,32
0,50010810000145,32
0,50024310000055,32
0,50010910000172,32
0,50010510000111,32
0,50022610000031,31
0,50023610000013,31
0,50010510000145,31
0,50010310000237,31
0,50010610002035,31
0,50022610000025,31
0,50010110000255,30
0,50011610000047,30
0,50010610009051,30
0,50023110000061,30
0,50022510000012,29
0,50010110000253,29
0,50010110000178,29
0,50010410000040,29
0,50023410000104,29
0,50023610000050,29
0,50011610000003,29
0,50024110000097,28
0,50024210000081,28
0,50011010000032,28
0,50010810000123,28
0,50022210000040,28
0,50011810000044,28
0,50010610002038,28
0,50023310000037,27
0,50022810000062,27
0,50023810000047,27
0,50010910000192,27
0,50023810000048,27
0,50022510000044,26
0,50023610000049,26
0,50011810000102,26
0,50010710000231,26
0,50010310000025,26
0,50011210000015,26
0,50022610000044,26
0,50010510000149,26
0,50010510000002,26
0,50023310000022,25
0,50010610002077,25
0,50010510000060,25
0,50010810000118,25
0,50010210000067,24
0,50010610002009,24
0,50023310000036,24
0,50010410000049,24
0,50010410000042,24
0,50022310000082,24
0,50010710001029,24
0,50010610002067,24
0,50010210000062,24
0,50010610009033,24
0,50010210000028,23
0,50024210000103,23
0,50010710000191,23
0,50010510000074,23
0,50010610009086,23
0,50011210000270,23
0,50011610000027,23
0,50010610005013,23
0,50023310000088,23
0,50011410000002,23
0,50011610000152,23
0,50010510000137,23
0,50022610000035,23
0,50010210000021,23
0,50010710001009,23
0,50010510000054,23
0,50010210000098,22
0,50011710000117,22
0,50023410000036,22
0,50022610000017,22
0,50023610000027,22
0,50011810000005,22
0,50023310000056,22
0,50010510000069,22
0,50010510000046,22
0,50023210000020,22
0,50010510000015,22
0,50011710000089,22
0,50023310000047,22
0,50011710000028,22
0,50022410000082,21
0,50010610002018,21
0,50010110000020,21
0,50011810000079,21
0,50010510000178,21
0,50023710000051,21
0,50010710000289,21
0,50010610002041,21
0,50023110000043,21
0,50010210000043,21
0,50011310000118,21
0,50010510000190,20
0,50023210000002,20
0,50011310000070,20
0,50011610000051,20
0,50022310000075,20
0,50015310000022,20
0,50011810000043,20
0,50011210000091,20
0,50010410000044,20
0,50010610009070,20
0,50023610000006,20
0,50010810000071,20
0,50010510000165,20
0,50010610009037,20
0,50023710000025,20
0,50023210000005,20
0,50010510000008,20
0,50010210000088,19
0,50011210000297,19
0,50010610009095,19
0,50023610000039,19
0,50023110000071,19
0,50022510000055,19
0,50011010000021,19
0,50022310000072,19
0,50022710000071,19
0,50023510000075,19
0,50022810000065,19
0,50023310000026,19
0,50010610009089,19
0,50023310000012,19
0,50010410000015,19
0,50011710000058,19
0,50011510000090,19
0,50022610000012,19
0,50010110000225,19
0,50011610000176,19
0,50023510000072,19
0,50011410000056,19
0,50023110000048,18
0,50011710000063,18
0,50010510000070,18
0,50015310000032,18
0,50022210000078,18
0,50011210000093,18
0,50023610000011,18
0,50010710000020,18
0,50010310000150,18
0,50010310000220,18
0,50010710000061,18
0,50011610000046,18
0,50010710000310,18
0,50010610006001,18
0,50022610000015,18
0,50010510000167,18
0,50010610005012,18
0,50022410000079,18
0,50010610007013,18
0,50011010000030,17
0,50010810000188,17
0,50011810000018,17
0,50022810000050,17
0,50010810000179,17
0,50010810000201,17
0,50022410000029,17
0,50022410000010,17
0,50023210000027,17
0,50010710000343,17
0,50010710000292,17
0,50011210000177,17
0,50010610005023,17
0,50010710000186,17
0,50010810000155,17
0,50023610000066,17
0,50010510000007,17
0,50022610000060,17
0,50010810000080,17
0,50010110000057,17
0,50010710000360,17
0,50010210000018,17
0,50010210000091,17
0,50023110000068,17
0,50011910000043,17
0,50010510000050,17
0,50022610000058,17
0,50010410000055,17
0,50010410000053,17
0,50010810000152,17
0,50022510000024,17
0,50023610000021,16
0,50023410000070,16
0,50010610002072,16
0,50010310000007,16
0,50010910000176,16
0,50022610000085,16
0,50010710000280,16
0,50010510000076,16
0,50015310000059,16
0,50011210000021,16
0,50024110000086,16
0,50011810000137,16
0,50022810000003,16
0,50011410000052,16
0,50010310000045,16
0,50011210000276,16
0,50011810000010,16
0,50023410000025,16
0,50011610000009,16
0,50010310000283,16
0,50024010000019,16
0,50010210000100,16
0,50010610009006,16
0,50022510000051,16
0,50010610002091,16
0,50010110000192,16
0,50011610000142,16
0,50010110000244,16
0,50022610000052,16
0,50015310000082,16
0,50010610006019,16
0,50022310000016,16
0,50010110000163,16
0,50011210000043,16
0,50011810000166,15
0,50010310000121,15
0,50010610009071,15
0,50010710000331,15
0,50022410000040,15
0,50011610000015,15
0,50010210000001,15
0,50010310000297,15
0,50010110000120,15
0,50010610007012,15
0,50011710000078,15
0,50011710000161,15
0,50011710000168,15
0,50023110000049,15
0,50010110000204,15
0,50010610009093,15
0,50010410000065,15
0,50023610000032,15
0,50011210000056,15
0,50024110000099,15
0,50023610000069,15
0,50010610009127,15
0,50011610000138,15
0,50010710000083,15
0,50011810000168,15
